Prompt ID,Metric,p-value,Test Used,Corrected p-value,Significant
PSP10,rouge_1,0.01198544577792607,t-test,0.05846642096633542,False
SSP1,rouge_2,0.431640625,Wilcoxon,0.53955078125,False
SSP2,rouge_2,0.009635275500687317,t-test,0.04447050231086454,True
SSP3,rouge_2,0.23788718995270305,t-test,0.34812759505273616,False
SSP4,rouge_2,0.001266799950735,t-test,0.0095009996305125,True
SSP5,rouge_2,0.012362197163736622,t-test,0.05298084498744266,False
SSP6,rouge_2,0.064453125,Wilcoxon,0.149463932300826,False
SSP7,rouge_2,0.32367403215803237,t-test,0.4476379518737721,False
SSP8,rouge_2,0.038784670717075566,t-test,0.1011774018706319,False
SSP9,rouge_2,0.1906944590764486,t-test,0.2900390625,False
SSP10,rouge_2,0.7060043944831804,t-test,0.7844493272035338,False
CEP1,rouge_2,0.0022631609799324834,t-test,0.0135789658795949,True
CEP2,rouge_2,0.12911043644270592,t-test,0.2293630019176735,False
CEP3,rouge_2,0.14695266924515235,t-test,0.24492111540858727,False
CEP4,rouge_2,0.09142203425402214,t-test,0.1745516906813077,False
CEP5,rouge_2,0.17676499253559708,t-test,0.279102619793048,False
CEP6,rouge_2,0.3878341723892046,t-test,0.5058706596380929,False
CEP7,rouge_2,0.0054612354991948305,t-test,0.02978855726833544,True
CEP8,rouge_2,0.130859375,Wilcoxon,0.2293630019176735,False
CEP9,rouge_2,0.193359375,Wilcoxon,0.2900390625,False
CEP10,rouge_2,0.02115468061661973,t-test,0.0694668536719974,False
CT1,rouge_2,0.5744275259346265,t-test,0.6757970893348547,False
CT2,rouge_2,0.014845490026716812,t-test,0.05938196010686725,False
CT3,rouge_2,0.07428953734216578,t-test,0.1650878607603684,False
CT4,rouge_2,0.0005312832427520487,t-test,0.007489432347354162,True
CT5,rouge_2,0.09184795701841449,t-test,0.1745516906813077,False
CT6,rouge_2,0.04737992492219364,t-test,0.11844981230548408,False
CT7,rouge_2,0.48788387400482536,t-test,0.5895065832005912,False
CT8,rouge_2,0.024313398785199086,t-test,0.0694668536719974,False
CT9,rouge_2,0.02234055956833614,t-test,0.0694668536719974,False
CT10,rouge_2,2.7086442319539243e-05,t-test,0.0016251865391723546,True
EXP1,rouge_2,0.08999548496029823,t-test,0.1745516906813077,False
EXP2,rouge_2,0.000154758216706042,t-test,0.00464274650118126,True
EXP3,rouge_2,0.03724879474416259,t-test,0.1011774018706319,False
EXP4,rouge_2,0.0009622106554240448,t-test,0.009391669210165045,True
EXP5,rouge_2,0.33446311424806474,t-test,0.4476379518737721,False
EXP6,rouge_2,0.023588260094793284,t-test,0.0694668536719974,False
EXP7,rouge_2,0.6305822816706989,t-test,0.7275949403892679,False
EXP8,rouge_2,0.006250744564805186,t-test,0.03125372282402593,True
EXP9,rouge_2,0.019239871287202913,t-test,0.06790542807248087,False
EXP10,rouge_2,0.0021774600602271128,t-test,0.0135789658795949,True
POP1,rouge_2,0.856222977970529,t-test,0.9173817621112811,False
POP2,rouge_2,0.13379508445197622,t-test,0.2293630019176735,False
POP3,rouge_2,0.2536053271875022,t-test,0.36229332455357466,False
POP4,rouge_2,0.33572846390532907,t-test,0.4476379518737721,False
POP5,rouge_2,0.0006073174995831114,t-test,0.007489432347354162,True
POP6,rouge_2,0.001095694741185922,t-test,0.009391669210165045,True
POP7,rouge_2,0.49125548600049274,t-test,0.5895065832005912,False
POP8,rouge_2,0.9241878439967353,t-test,0.9398520447424427,False
POP9,rouge_2,0.0647677039970246,t-test,0.149463932300826,False
POP10,rouge_2,0.0183927896420405,t-test,0.06790542807248087,False
PSP1,rouge_2,0.6953125,Wilcoxon,0.7844493272035338,False
PSP2,rouge_2,0.09309423503003077,t-test,0.1745516906813077,False
